Tag ID,RSSI,Phase,Frequency,Antenna No.,Created At
9990 1912 9990 9990 9990 0113, -63.5, 5.957981380147831, 920.4, 4, 2022/12/19 19:31:42
2200 0000 42C4 0644 0010 0001, -58.5, 2.030990563160589, 920.4, 4, 2022/12/19 19:31:42
2200 4444 B4D0 6014 04E6 3739, -63, 1.7426021750380885, 920.4, 4, 2022/12/19 19:31:42
9990 1912 9990 9990 9990 0131, -59.5, 5.0682725231741586, 920.4, 1, 2022/12/19 19:31:41
9990 1912 9990 9990 9990 0131, -60, 0.4724660826687775, 920.4, 6, 2022/12/19 19:31:42
2200 43CB 43A1 E98A 543D 29CD, -70.5, 5.270757987175063, 920.4, 1, 2022/12/19 19:31:41
2200 43CB 43A1 D68A 543D 2981, -65.5, 0.006135923151542565, 920.4, 1, 2022/12/19 19:31:41
E200 4710 6990 6026 B9C9 0110, -64, 0.46019423636569234, 920.4, 1, 2022/12/19 19:31:41
E200 4710 6990 6026 B9C9 0110, -64.5, 5.835262917116979, 920.4, 4, 2022/12/19 19:31:41
2020 43CB 43A1 E38A 543D 29B5, -67.5, 6.092971689481767, 920.4, 1, 2022/12/19 19:31:41
2020 43CB 43A1 E38A 543D 29B5, -65.5, 5.4671075280244255, 920.4, 4, 2022/12/19 19:31:42
2020 43CB 43A1 E88A 543D 29C9, -60.5, 5.056000676871073, 920.4, 1, 2022/12/19 19:31:41
2020 43CB 43A1 E88A 543D 29C9, -60, 3.160000423044421, 920.4, 4, 2022/12/19 19:31:42
2200 43CB 43A1 CD8A 543D 295D, -62, 2.411417798556228, 920.4, 1, 2022/12/19 19:31:41
E200 470F 45D0 6023 A129 010E, -63.5, 2.3930100291016, 920.4, 1, 2022/12/19 19:31:41
E200 470F 45D0 6023 A129 010E, -55, 1.0246991663076084, 920.4, 4, 2022/12/19 19:31:42
2020 43CB 43A2 198A 543D 2A8D, -52.5, 5.418020142812084, 920.4, 1, 2022/12/19 19:31:41
2020 43CB 43A2 198A 543D 2A8D, -54, 0.4663301595172349, 920.4, 4, 2022/12/19 19:31:42
2200 43CB 43A1 E48A 543D 29B9, -66, 1.012427320004523, 920.4, 1, 2022/12/19 19:31:41
5538 0000 4180 0400 0034 000B, -70, 4.424000592262189, 920.4, 6, 2022/12/19 19:31:44
9990 1912 9990 9990 9990 0125, -58.5, 0.7915340865489908, 920.4, 6, 2022/12/19 19:31:44
9990 1912 9990 9990 9990 0137, -65.5, 2.8777479580734626, 920.4, 6, 2022/12/19 19:31:44
2200 43CB 43A1 DF8A 543D 29A5, -59.5, 4.037437433715008, 920.4, 4, 2022/12/19 19:31:43
9990 1912 9990 9990 9990 0107, -58.5, 6.252505691421874, 920.4, 4, 2022/12/19 19:31:44
9990 1912 9990 9990 9990 0113, -63, 0.11044661672776616, 920.4, 4, 2022/12/19 19:31:43
5538 0000 4180 0400 0034 0007, -66.5, 3.2213596545598464, 920.4, 4, 2022/12/19 19:31:44
2200 0000 42C4 0644 0010 0001, -58, 2.043262409463674, 920.4, 4, 2022/12/19 19:31:43
2200 4444 A450 6014 04E6 3731, -57.5, 0.30066023442558565, 920.4, 4, 2022/12/19 19:31:44
2200 4444 A450 6014 04E6 3731, -62, 3.2459033471660166, 920.4, 6, 2022/12/19 19:31:44
2200 4444 B4D0 6014 04E6 3739, -64, 1.9573594853420782, 920.4, 4, 2022/12/19 19:31:43
