Tag ID,RSSI,Phase,Frequency,Antenna No.,Created At
2200 43CB 43A1 D68A 543D 2981, -71.5, 2.1475731030398975, 920.4, 4, 2022/12/19 18:19:25
2020 43CB 43A2 198A 543D 2A8D, -51.5, 4.914874444385594, 920.4, 1, 2022/12/19 18:19:24
2020 43CB 43A2 198A 543D 2A8D, -58, 0.01227184630308513, 920.4, 4, 2022/12/19 18:19:25
E200 470F 45D0 6023 A129 010E, -56, 4.344233591292136, 920.4, 1, 2022/12/19 18:19:24
E200 470F 45D0 6023 A129 010E, -59.5, 4.313553975534423, 920.4, 4, 2022/12/19 18:19:25
E200 470F 45D0 6023 A129 010E, -61.5, 3.9147189706841563, 920.4, 6, 2022/12/19 18:19:25
2020 43CB 43A1 E78A 543D 29C5, -56.5, 5.485515297479052, 920.4, 1, 2022/12/19 18:19:24
2020 43CB 43A1 E78A 543D 29C5, -65.5, 6.031612457966341, 920.4, 4, 2022/12/19 18:19:25
2020 43CB 43A1 E78A 543D 29C5, -62, 1.8039614065535141, 920.4, 6, 2022/12/19 18:19:25
2020 0000 4000 0000 0000 0012, -62, 2.5770877236478773, 920.4, 1, 2022/12/19 18:19:24
9990 1912 9990 9990 9990 0125, -59, 1.2455923997631406, 920.4, 6, 2022/12/19 18:19:27
5538 0000 4180 0440 0034 0007, -73.5, 2.36846633649543, 920.4, 4, 2022/12/19 18:19:27
2200 0004 A7E0 6014 04E6 376A, -67, 4.246058820867455, 920.4, 4, 2022/12/19 18:19:27
2200 43CB 43A1 E48A 543D 29B9, -68, 1.3130875544301088, 920.4, 4, 2022/12/19 18:19:27
5538 0000 4180 0400 0034 0007, -66.5, 1.9757672547967058, 920.4, 4, 2022/12/19 18:19:27
9990 1912 9990 9990 9990 0113, -58, 6.025476534814799, 920.4, 4, 2022/12/19 18:19:27
2200 4444 A450 6014 04E6 3731, -57.5, 5.773903685601553, 920.4, 4, 2022/12/19 18:19:27
2200 4444 A450 6014 04E6 3731, -60, 2.6998061866787286, 920.4, 6, 2022/12/19 18:19:27
7B49, -67, 0.01227184630308513, 920.4, 4, 2022/12/19 18:19:27
9990 1912 9990 9990 9990 0107, -54.5, 1.012427320004523, 920.4, 4, 2022/12/19 18:19:27
2020 0000 4000 0000 0000 0012, -63.5, 5.583690067903734, 920.4, 1, 2022/12/19 18:19:26
5538 0000 4180 0400 0034 000B, -71.5, 0.04908738521234052, 920.4, 1, 2022/12/19 18:19:26
5538 0000 4180 0400 0034 000B, -66.5, 4.000621894805752, 920.4, 4, 2022/12/19 18:19:27
2020 43CB 43A1 E78A 543D 29C5, -56.5, 5.4671075280244255, 920.4, 1, 2022/12/19 18:19:26
2020 43CB 43A1 E78A 543D 29C5, -62, 1.7303303287350031, 920.4, 6, 2022/12/19 18:19:27
2200 43CB 43A1 E98A 543D 29CD, -65, 3.5772431973493153, 920.4, 1, 2022/12/19 18:19:26
5598 0000 4004 0004 000C 0001, -54.5, 5.375068680751287, 920.4, 1, 2022/12/19 18:19:26
2020 43CB 43A1 E88A 543D 29C9, -61, 4.3074180523828804, 920.4, 1, 2022/12/19 18:19:26
2020 43CB 43A1 E88A 543D 29C9, -62, 1.8407769454627694, 920.4, 4, 2022/12/19 18:19:27
2200 43CB 43A1 CD8A 543D 295D, -55.5, 2.110757564130642, 920.4, 1, 2022/12/19 18:19:26
2200 43CB 43A1 CD8A 543D 295D, -67, 4.086524818927348, 920.4, 4, 2022/12/19 18:19:27
2020 43CB 43A1 E38A 543D 29B5, -66, 5.988660995905543, 920.4, 1, 2022/12/19 18:19:26
2020 43CB 43A2 198A 543D 2A8D, -52, 4.847379289718626, 920.4, 1, 2022/12/19 18:19:26
2020 43CB 43A2 198A 543D 2A8D, -58, 6.154330920997192, 920.4, 4, 2022/12/19 18:19:27
E200 470F 45D0 6023 A129 010E, -56.5, 4.424000592262189, 920.4, 1, 2022/12/19 18:19:26
E200 470F 45D0 6023 A129 010E, -58, 4.3074180523828804, 920.4, 4, 2022/12/19 18:19:27
E200 470F 45D0 6023 A129 010E, -60, 4.184699589352029, 920.4, 6, 2022/12/19 18:19:27
2200 43CB 43A1 DF8A 543D 29A5, -64, 0.8160777791551611, 920.4, 1, 2022/12/19 18:19:26
2200 43CB 43A1 DF8A 543D 29A5, -60.5, 4.172427743048944, 920.4, 4, 2022/12/19 18:19:27
9990 1912 9990 9990 9990 0125, -60, 1.2640001692177683, 920.4, 6, 2022/12/19 18:19:29
5538 0000 4180 0440 0034 0007, -73.5, 2.2641556429192065, 920.4, 4, 2022/12/19 18:19:29
2020 43CB 43A1 E38A 543D 29B5, -70.5, 5.829126993965437, 920.4, 4, 2022/12/19 18:19:29
9990 1912 9990 9990 9990 0107, -56, 1.0492428589137786, 920.4, 4, 2022/12/19 18:19:29
2200 4444 B4D0 6014 04E6 3739, -64, 2.325514874434632, 920.4, 4, 2022/12/19 18:19:29
9990 1912 9990 9990 9990 0113, -57.5, 6.111379458936394, 920.4, 4, 2022/12/19 18:19:29
2200 4444 A450 6014 04E6 3731, -57.5, 5.7616318392984684, 920.4, 4, 2022/12/19 18:19:29
2200 4444 A450 6014 04E6 3731, -60, 2.773437264497239, 920.4, 6, 2022/12/19 18:19:29
2200 0004 A7E0 6014 04E6 376A, -63.5, 4.23378697456437, 920.4, 4, 2022/12/19 18:19:29
2200 43CB 43A1 E48A 543D 29B9, -66.5, 0.9878836273983529, 920.4, 4, 2022/12/19 18:19:29
